       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686582          18.79452794        -156.03041540        -137.23588745
    2600          61.65941062          19.66606402        -156.94491185        -137.27884783
    2700          58.81987813          18.76040457        -156.07031128        -137.30990671
    2800          53.15475438          16.95353219        -154.26693031        -137.31339812
    2900          54.95193279          17.52673627        -154.82877241        -137.30203614
    3000          55.99963521          17.86089747        -155.23428939        -137.37339192
    3100          56.97370049          18.17157236        -155.46230007        -137.29072772
    3200          54.82661059          17.48676517        -154.82426027        -137.33749510
    3300          58.17829080          18.55577243        -155.99088344        -137.43511101
    3400          57.28760930          18.27169253        -155.64132090        -137.36962837
    3500          55.43526876          17.68089467        -155.09613358        -137.41523891
    3600          55.08689629          17.56978243        -155.00142511        -137.43164268
    3700          56.84772710          18.13139356        -155.56340315        -137.43200960
    3800          51.62385759          16.46525775        -153.98189626        -137.51663852
    3900          52.18960664          16.64570153        -154.10774326        -137.46204173
    4000          52.04662323          16.60009744        -153.99310718        -137.39300974
    4100          56.74283187          18.09793757        -155.56884920        -137.47091162
    4200          51.99503067          16.58364217        -154.04185461        -137.45821245
    4300          51.52582206          16.43398964        -153.89651332        -137.46252368
    4400          53.09258826          16.93370451        -154.37709255        -137.44338804
    4500          55.28495368          17.63295217        -154.99816731        -137.36521514
    4600          50.51867854          16.11276456        -153.47734997        -137.36458541
    4700          54.83832471          17.49050135        -154.82762737        -137.33712602
    4800          51.56793676          16.44742198        -153.90217582        -137.45475384
    4900          44.17504446          14.08948356        -151.43709634        -137.34761278
    5000          51.69350877          16.48747276        -153.92315775        -137.43568499
    5100          52.02509511          16.59323112        -154.00883689        -137.41560577
    5200          51.98773619          16.58131562        -153.91090578        -137.32959017
    5300          54.73595225          17.45784999        -154.83838944        -137.38053945
    5400          51.49560328          16.42435146        -153.77300972        -137.34865826
    5500          49.50337119          15.78893566        -153.06698678        -137.27805112
    5600          50.19435699          16.00932328        -153.32672993        -137.31740665
    5700          51.27433405          16.35377838        -153.76507113        -137.41129276
    5800          49.47165684          15.77882047        -153.06877081        -137.28995034
    5900          49.84536312          15.89801285        -153.31333099        -137.41531814
    6000          52.92750087          16.88105044        -154.26045715        -137.37940671
    6100          49.91766924          15.92107465        -153.21858857        -137.29751392
    6200          50.91042901          16.23771207        -153.51205742        -137.27434535
    6300          55.04353939          17.55595389        -154.91671160        -137.36075771
    6400          50.97897484          16.25957454        -153.71773959        -137.45816505
    6500          54.77074479          17.46894696        -154.86848553        -137.39953857
    6600          51.86105942          16.54091248        -153.90531685        -137.36440436
    6700          56.80551026          18.11792864        -155.54121901        -137.42329037
    6800          50.15451493          15.99661579        -153.36090274        -137.36428695
    6900          56.57068134          18.04303074        -155.47931488        -137.43628415
    7000          45.86544059          14.62862979        -151.98513317        -137.35650338
    7100          53.38208600          17.02603885        -154.27783659        -137.25179774
    7200          52.16744471          16.63863305        -153.96486568        -137.32623262
    7300          47.27887813          15.07944099        -152.43268023        -137.35323924
    7400          50.52065563          16.11339515        -153.36930992        -137.25591478
    7500          55.39036361          17.66657232        -154.99294654        -137.32637422
    7600          51.68045811          16.48331030        -153.98485162        -137.50154132
    7700          54.55352327          17.39966487        -154.85420676        -137.45454189
    7800          50.32823119          16.05202202        -153.49811596        -137.44609395
    7900          50.37827306          16.06798270        -153.38974826        -137.32176556
    8000          53.15711996          16.95428668        -154.35825595        -137.40396927
    8100          53.82629404          17.16771753        -154.66977523        -137.50205770
    8200          51.98385292          16.58007706        -153.96410244        -137.38402538
    8300          53.76499501          17.14816641        -154.48528140        -137.33711499
    8400          50.99109364          16.26343979        -153.71377303        -137.45033324
    8500          53.84427748          17.17345329        -154.56578505        -137.39233176
    8600          49.27134751          15.71493248        -153.08675183        -137.37181936
    8700          49.07839827          15.65339196        -153.04535542        -137.39196346
    8800          51.68598161          16.48507200        -153.90525852        -137.42018653
    8900          53.17940886          16.96139565        -154.30637816        -137.34498251
    9000          54.87393749          17.50185993        -154.93398074        -137.43212081
    9100          53.16495360          16.95678520        -154.40808785        -137.45130265
    9200          52.56644904          16.76589416        -154.19368642        -137.42779226
